ProfileName,TransactionDate,TransactionAmount,TransactionNarrative,TransactionDescription,TransactionID,TransactionType,WalletReference
Card Campaign,1/12/2014 15:09,3880,370592 ENGEN LOBATSE      BOTSWANA      BW,REVERSAL,1.64012E+14,0,P_NzUzNDA5MjRfMTM4MDg4NDc0OC4yNjA1
Card Campaign,1/12/2014 15:10,-3880,370592 ENGEN LOBATSE      BOTSWANA      BW,DEDUCT,1.64012E+14,0,P_NzUzNDA5MjRfMTM4MDg4NDc0OC4yNjA1
Card Campaign,1/12/2014 15:11,-10000,*NYERERE                  GAORONE       BW,DEDUCT,3.04013E+14,1,P_NzIxNTE5NzFfMTM4MDM2NDkwOS43NTM5
Card Campaign,1/12/2014 15:11,-4880,Choppies Store L100380    Lobatse       BW,DEDUCT,4.01255E+12,0,P_NzI3OTA5MzFfMTM4NjU5MTE4MC4yNzgz
Card Campaign,1/12/2014 21:33,-12220,162502 CHOPPIES           BOTSWANA      BW,DEDUCT,1.64012E+14,0,P_Nzc1MDc0MTNfMTM4NTgwOTEwNS4wMjk0
Card Campaign,1/12/2014 15:21,-5000,AIRPORT JUNCTION ATM      GABORONE      BW,DEDUCT,3.84012E+14,1,P_Nzc1MDE4NTVfMTM4OTQ1NDM1Ni42NDE2
Card Campaign,1/12/2014 15:25,-30215,Choppies 2 Franc102992    Lobatse       BW,DEDUCT,8.40126E+13,0,P_NzIxNDg2MDRfMTM4NjY2ODQ5MC44NDUx
Card Campaign,1/12/2014 15:26,-11310,782218 SHOPPERS BROADHURS BOTSWANA      BW,DEDUCT,4.01241E+12,0,P_NzI4MzMxMzFfMTM4MTQwNDM4OC4yMjIz
Card Campaign,1/12/2014 15:26,-30000,EASY PLAN RAILWAY         GABORONE      BW,DEDUCT,5.84012E+14,1,P_NzQzNjAxNTlfMTM4NjIzNjEzMS4wNzQ5
Card Campaign,1/12/2014 15:29,-8290,805522 SHOPRITE MAUN      BOTSWANA      BW,DEDUCT,4.01241E+12,0,P_Nzc1MDA3MTFfMTM4MTQ4MjU0MC4zMTc2
Card Campaign,1/12/2014 15:33,-50000,BROADHURST INDUSTRIAL     BROADHURST    BW,DEDUCT,5.84012E+14,1,P_NzI1MzE3NzdfMTM4MzA1MTM4OS4xNTY=
Card Campaign,1/12/2014 15:34,-17835,292051 CHOPPIES VALUE STO BOTSWANA      BW,DEDUCT,8.40124E+13,0,P_NzI0NTc2MjRfMTM4MTQ3ODYxMi4zMDE2
Card Campaign,1/12/2014 15:35,-30000,TLOKWENG BOARDER GATE     BOTSWANA      BW,DEDUCT,4.64012E+14,1,P_NzI3NjU3NDRfMTM4NTUzNTI5My42Njc2
